,canada_id,arwu_name,canada_name,arwu_rank,arwu_link
172,1477,Southwestern University of Finance and Economics,Southwestern University,501-600,https://www.shanghairanking.com/institution/southwestern-university-of-finance-and-economics
173,1582,Texas Tech University,Texas Tech University,501-600,https://www.shanghairanking.com/institution/texas-tech-university
176,1846,The University of Texas at Dallas,The University of Texas at Dallas,501-600,https://www.shanghairanking.com/institution/the-university-of-texas-at-dallas
177,1848,The University of Texas at San Antonio,University of Texas at San Antonio,501-600,https://www.shanghairanking.com/institution/the-university-of-texas-at-san-antonio
178,1591,Thomas Jefferson University,Thomas Jefferson University,501-600,https://www.shanghairanking.com/institution/thomas-jefferson-university
179,1617,Tulane University,Tulane University,501-600,https://www.shanghairanking.com/institution/tulane-university
180,1767,The University of New Mexico - Albuquerque,University of New Mexico,501-600,https://www.shanghairanking.com/institution/the-university-of-new-mexico-albuquerque
181,1656,University of Arkansas at Fayetteville,University of Arkansas,501-600,https://www.shanghairanking.com/institution/university-of-arkansas-at-fayetteville
182,1668,"University of California, Merced","University of California, Merced",501-600,https://www.shanghairanking.com/institution/university-of-california-merced
183,1721,University of Maine,University of Maine,501-600,https://www.shanghairanking.com/institution/university-of-maine
188,1782,University of North Texas,University of North Texas,501-600,https://www.shanghairanking.com/institution/university-of-north-texas
190,1787,University of Oklahoma - Oklahoma City,University of Oklahoma,501-600,https://www.shanghairanking.com/institution/university-of-oklahoma-oklahoma-city
191,1924,Wake Forest University,Wake Forest University,501-600,https://www.shanghairanking.com/institution/wake-forest-university
192,1978,West Virginia University,West Virginia University,501-600,https://www.shanghairanking.com/institution/west-virginia-university
195,276,Auburn University,Auburn University,601-700,https://www.shanghairanking.com/institution/auburn-university
197,310,Baylor University,Baylor University,601-700,https://www.shanghairanking.com/institution/baylor-university
198,369,Brescia University,Brescia University,601-700,https://www.shanghairanking.com/institution/brescia-university
199,1135,Chonnam National University,National University,601-700,https://www.shanghairanking.com/institution/chonnam-national-university
200,489,Clemson University,Clemson University,601-700,https://www.shanghairanking.com/institution/clemson-university
201,1388,San Diego State University,San Diego State University,601-700,https://www.shanghairanking.com/institution/san-diego-state-university
202,1648,The University of Alabama - Tuscaloosa,The University of Alabama,601-700,https://www.shanghairanking.com/institution/the-university-of-alabama-tuscaloosa
203,1844,The University of Texas at Arlington,The University of Texas at Arlington,601-700,https://www.shanghairanking.com/institution/the-university-of-texas-at-arlington
204,1656,University of Arkansas for Medical Sciences,University of Arkansas,601-700,https://www.shanghairanking.com/institution/university-of-arkansas-for-medical-sciences
206,1764,University of New Hampshire,University of New Hampshire,601-700,https://www.shanghairanking.com/institution/university-of-new-hampshire
